test_year,n_test,rmse,r2
2017,12,0.7697678291366379,0.063762783092154
2018,12,0.6573595483540043,0.5937344555670812
2019,12,0.3772586151222311,0.8382924127205602
2020,12,0.22424330983522886,0.9211804178450249
