,precision,recall,f1-score,support
-999,0.0,0.0,0.0,0.0
0,0.25,0.023809523809523808,0.043478260869565216,84.0
1,0.1111111111111111,0.011904761904761904,0.021505376344086023,84.0
2,0.9354838709677419,0.34523809523809523,0.5043478260869565,84.0
accuracy,0.12698412698412698,0.12698412698412698,0.12698412698412698,0.12698412698412698
macro avg,0.32414874551971323,0.09523809523809523,0.14233286582515192,252.0
weighted avg,0.43219832735961766,0.12698412698412698,0.18977715443353593,252.0
