features,oof_r2,oof_rmse,fold_rmse_mean,fold_rmse_std,delta_rmse_vs_met,delta_r2_vs_met
met-only,0.5930157220786814,0.5741389282942249,0.5376512644063421,0.23257006647489492,0.0,0.0
aerosol-only,0.5791672157084737,0.5838253667356009,0.5291181928770501,0.2849233740510682,0.009686438441376066,-0.013848506370207625
combined,0.6242735950590508,0.5516505259844576,0.5071573256120255,0.2506252179303767,-0.02248840230976723,0.03125787298036942
