region,crop,year,90%tile precipitation,90%tile precipitation (mm/day),90%tile precipitation (mm/day) years,aod,avg,ch4,ch4 (ppbv),ch4 avg (ppbv),ch4 day (ppbv),ch4 night (ppbv),co avg (ppbv),co day (ppbv),co day ppbv,co night (ppbv),co ppbv,co sfc conc (ppbv),co surface concentration (ppbv),co surface mass concentration (ppbv),co_day (ppbv),co_night (ppbv),day o3,net downward shortwave radiation,net dw sw wm-2,net sw land,net sw land wm-2,o3 avg,o3 sfc mass conc.,o3 total column 0.25 deg,o3 total column 1 deg,o3_total column o3 du,ozone 0.25,ozone 1 deg.,ozone sfc mass conc.,pm2.5 ugm-3,shortwave radiation,so2 column amount,so2 column du,so2 conc (ugm-3),so2 sfc ms cnc,so2 ugm-3,surface skin temp,surface skin temp avg,surface skin temp day,surface skin temp night,surface skin temp years,total column o3 du,total column ozone dobson,total o3 column,yield_lag1,yield_lag2,yield_pred
PYG,maize,2030,,28.285278607496366,,0.4990021759274892,,,,1925.4610687894728,1913.6039108947357,1937.3182266842095,,,,,,131.17099073333333,,,,,,,,,190.9883496017315,,,,,,,,,,,,,11.123950017207903,,,,30.114423236665793,34.65434352560195,25.57450294772964,,273.6704113614718,,,2.5913706104470764,2.5197805545380234,2.6600553504082356
PYG,rice,2021,,29.94632613001579,,0.4740577886035724,,,,1899.8572042105252,1891.0545705263144,1908.6598378947365,,,,,,142.31003061642852,,,,,,,,,176.097154095238,,,,,,,,,,,,,11.319426030476336,,,,28.380879690686257,32.73426715130716,24.02749223006537,2021.0,269.72045829404755,,,3.12,3.12,3.167294207507206
PYG,rice,2022,,29.761765294180293,,0.47621720324610495,,,,1902.702078052631,1893.5600527894726,1911.8441033157887,,,,,,142.3498945893506,,,,,,,,,175.92337131277048,,,,,,,,,,,,,11.491762341612684,,,,28.379612890802356,32.72328411913482,24.03594166246991,2022.0000000000002,269.72087877424235,,,3.167294207507206,3.12,3.249853308291405
PYG,rice,2023,,29.577204458344795,,0.4783766178886375,,,,1905.5469518947357,1896.0655350526308,1915.028368736841,,,,,,142.38975856227268,,,,,,,,,175.74958853030296,,,,,,,,,,,,,11.664098652749033,,,,28.378346090918456,32.71230108696247,24.044391094874456,2023.0000000000002,269.72129925443716,,,3.249853308291405,3.167294207507206,3.3398792124912178
PYG,rice,2024,,29.392643622509297,,0.48053603253117005,,,,1908.3918257368414,1898.5710173157881,1918.2126341578942,,,,,,142.42962253519474,,,,,,,,,175.57580574783543,,,,,,,,,,,,,11.836434963885438,,,,28.377079291034555,32.70131805479012,24.052840527278995,2024.0000000000002,269.72171973463196,,,3.3398792124912178,3.249853308291405,3.4246405606969197
PYG,rice,2025,,29.2080827866738,,0.4826954471737026,,,,1911.2366995789462,1901.0764995789464,1921.3968995789464,,,,,,142.46948650811683,,,,,,,,,175.4020229653679,,,,,,,,,,,,,12.008771275021786,,,,28.37581249115065,32.690335022617774,24.061289959683542,2025.0000000000002,269.72214021482677,,,3.4246405606969197,3.3398792124912178,3.501018734813318
PYG,rice,2026,,29.0235219508383,,0.48485486181623516,,,,1914.0815734210519,1903.5819818421037,1924.5811649999987,,,,,,142.5093504810389,,,,,,,,,175.22824018290032,,,,,,,,,,,,,12.181107586158134,,,,28.37454569126675,32.67935199044543,24.06973939208808,2026.0000000000002,269.72256069502157,,,3.501018734813318,3.4246405606969197,3.5689122140070655
PYG,rice,2027,,28.83896111500286,,0.4870142764587677,,,,1916.9264472631567,1906.087464105262,1927.7654304210519,,,,,,142.54921445396099,,,,,,,,,175.0544574004328,,,,,,,,,,,,,12.353443897294483,,,,28.37327889138285,32.66836895827309,24.07818882449262,2027.0000000000002,269.7229811752164,,,3.5689122140070655,3.501018734813318,3.6287835358671137
PYG,rice,2028,,28.654400279167362,,0.48917369110130027,,,,1919.7713211052624,1908.5929463684192,1930.9496958421041,,,,,,142.58907842688305,,,,,,,,,174.88067461796527,,,,,,,,,,,,,12.525780208430888,,,,28.37201209149895,32.657385926100744,24.086638256897167,2028.0000000000002,269.7234016554112,,,3.6287835358671137,3.5689122140070655,3.6812201669802613
PYG,rice,2029,,28.469839443331864,,0.4913331057438328,,,,1922.6161949473671,1911.0984286315775,1934.1339612631564,,,,,,142.6289423998051,,,,,,,,,174.70689183549774,,,,,,,,,,,,,12.698116519567236,,,,28.370745291615044,32.646402893928396,24.095087689301707,2029.0000000000002,269.723822135606,,,3.6812201669802613,3.6287835358671137,3.7269558809990606
