region,crop,year,90%tile precipitation,90%tile precipitation (mm/day),90%tile precipitation (mm/day) years,aod,avg,ch4,ch4 (ppbv),ch4 avg (ppbv),ch4 day (ppbv),ch4 night (ppbv),co avg (ppbv),co day (ppbv),co day ppbv,co night (ppbv),co ppbv,co sfc conc (ppbv),co surface concentration (ppbv),co surface mass concentration (ppbv),co_day (ppbv),co_night (ppbv),day o3,net downward shortwave radiation,net dw sw wm-2,net sw land,net sw land wm-2,o3 avg,o3 sfc mass conc.,o3 total column 0.25 deg,o3 total column 1 deg,o3_total column o3 du,ozone 0.25,ozone 1 deg.,ozone sfc mass conc.,pm2.5 ugm-3,shortwave radiation,so2 column amount,so2 column du,so2 conc (ugm-3),so2 sfc ms cnc,so2 ugm-3,surface skin temp,surface skin temp avg,surface skin temp day,surface skin temp night,surface skin temp years,total column o3 du,total column ozone dobson,total o3 column,yield_lag1,yield_lag2,yield_pred,scenario
GKP,maize,2021,,26.048987049587367,,0.4916845610452385,,1889.1229964035083,,,1886.2866499122802,1891.9593428947355,,,,,112.22191371754525,137.28910108333343,,,,,,,193.05254034999984,,,,,269.5116682794121,269.2672220750004,,,,,39.44138497666688,147.8138730744272,-0.0477755477205859,,,,9.052403766428597,,29.657023542075155,33.8445358589869,25.4695112251634,,,273.1498255821427,,0.9770660340055358,0.956973293768546,1.147870239124419,baseline
GKP,maize,2022,,25.44615684026212,,0.49356286574199215,,1892.638688030701,,,1890.3140073245604,1894.9633687368414,,,,,109.89368455614203,137.49011619047633,,,,,,,192.79181515129847,,,,,270.0569053882357,269.8079995107847,,,,,39.636566798030515,147.24318746866243,-0.05102005991176206,,,,9.203479671331195,,29.680604154471954,33.87393150715512,25.487276801788788,,,273.0847680766232,,1.147870239124419,0.9770660340055358,1.25472741272733,baseline
GKP,maize,2023,,24.843326630936645,,0.49544117043874536,,1896.1543796578944,,,1894.3413647368416,1897.9673945789464,,,,,107.56545539473791,137.69113129761917,,,,,,,192.5310899525972,,,,,270.6021424970593,270.34877694656905,,,,,39.83174861939415,146.67250186289766,-0.054264572102938224,,,,9.354555576233793,,29.70418476686876,33.903327155323325,25.505042378414174,,,273.0197105711037,,1.25472741272733,1.147870239124419,1.3285626169198457,baseline
GKP,maize,2024,,24.240496421611397,,0.49731947513549857,,1899.670071285087,,,1898.3687221491218,1900.9714204210513,,,,,105.2372262333347,137.89214640476206,,,,,,,192.27036475389582,,,,,271.14737960588286,270.88955438235337,,,,,40.02693044075778,146.10181625713312,-0.05750908429411439,,,,9.50563148113639,,29.72776537926556,33.932722803491544,25.522807955039568,,,272.95465306558424,,1.3285626169198457,1.25472741272733,1.3915874818290837,baseline
GKP,maize,2025,,23.63766621228615,,0.4991977798322518,,1903.1857629122796,,,1902.396079561403,1903.9754462631563,,,,,102.90899707193148,138.0931615119049,,,,,,,192.00963955519455,,,,,271.69261671470645,271.4303318181377,,,,,40.22211226212141,145.53113065136836,-0.06075359648529055,,,,9.656707386038988,,29.751345991662358,33.96211845165975,25.540573531664954,,,272.8895955600648,,1.3915874818290837,1.3285626169198457,1.4544488622481317,baseline
GKP,maize,2026,,23.034836002960674,,0.501076084529005,,1906.7014545394732,,,1906.4234369736832,1906.9794721052622,,,,,100.58076791052827,138.29417661904773,,,,,,,191.7489143564933,,,,,272.23785382353003,271.97110925392224,,,,,40.41729408348505,144.9604450456036,-0.06399810867646671,,,,9.807783290941586,,29.774926604059157,33.99151409982797,25.558339108290347,,,272.8245380545453,,1.4544488622481317,1.3915874818290837,1.5213425315075852,baseline
GKP,maize,2027,,22.432005793635426,,0.5029543892257582,,1910.2171461666658,,,1910.4507943859644,1909.9834979473671,,,,,98.25253874912414,138.49519172619063,,,,,,,191.4881891577919,,,,,272.7830909323536,272.51188668970656,,,,,40.61247590484868,144.38975943983883,-0.06724262086764377,,,,9.958859195844184,,29.798507216455963,34.020909747996186,25.576104684915734,,,272.7594805490258,,1.5213425315075852,1.4544488622481317,1.5936676594109165,baseline
GKP,maize,2028,,21.82917558430995,,0.5048326939225114,,1913.7328377938593,,,1914.4781517982447,1912.987523789472,,,,,95.92430958772093,138.69620683333346,,,,,,,191.22746395909064,,,,,273.3283280411772,273.0526641254909,,,,,40.80765772621231,143.8190738340743,-0.07048713305881993,,,,10.109935100746782,,29.822087828852762,34.05030539616439,25.593870261541127,,,272.6944230435063,,1.5936676594109165,1.5213425315075852,1.671862373704823,baseline
GKP,maize,2029,,21.226345374984703,,0.5067109986192646,,1917.248529421052,,,1918.5055092105258,1915.991549631577,,,,,93.59608042631771,138.89722194047636,,,,,,,190.96673876038926,,,,,273.8735651500008,273.5934415612752,,,,,41.002839547576,143.24838822830952,-0.07373164524999609,,,,10.26101100564938,,29.84566844124956,34.07970104433261,25.611635838166514,,,272.6293655379868,,1.671862373704823,1.5936676594109165,1.7561004760191894,baseline
GKP,maize,2030,,20.623515165659228,,0.5085893033160178,,1920.7642210482445,,,1922.532866622806,1918.995575473683,,,,,91.26785126491359,139.0982370476192,,,,,,,190.706013561688,,,,,274.41880225882437,274.1342189970595,,,,,41.198021368939635,142.67770262254476,-0.07697615744117225,,,,10.412086910551977,,29.869249053646367,34.10909669250083,25.6294014147919,,,272.56430803246735,,1.7561004760191894,1.671862373704823,1.8464497966356865,baseline
